epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3072.74,0.55806,0.42927,0.97277,0.74424,0.73982,0.76714,0.45478,1.56674,1.25357,1.9192,0.00036936,0.00036936,0.00036936
94,3105.02,0.56587,0.42053,0.97049,0.87805,0.67789,0.76243,0.44781,1.53204,1.24562,1.90511,0.000358607,0.000358607,0.000358607
95,3135.89,0.56212,0.41423,0.97576,0.79128,0.7121,0.76679,0.45414,1.5063,1.29518,1.84853,0.000347943,0.000347943,0.000347943
96,3167.12,0.54408,0.40782,0.9617,0.81933,0.68809,0.75041,0.447,1.55534,1.33407,1.90596,0.000337372,0.000337372,0.000337372
97,3197.2,0.51857,0.38926,0.94481,0.77958,0.70274,0.74676,0.43082,1.55858,1.27585,1.90801,0.0003269,0.0003269,0.0003269
98,3227.25,0.55444,0.40386,0.96148,0.74063,0.69421,0.74586,0.43252,1.56919,1.39438,1.89357,0.00031653,0.00031653,0.00031653
99,3258.17,0.53055,0.41267,0.96497,0.68497,0.75776,0.73115,0.44096,1.55601,1.41392,1.92909,0.000306268,0.000306268,0.000306268
100,3287.47,0.52253,0.39593,0.95215,0.72529,0.72684,0.74232,0.43865,1.60756,1.3882,1.92315,0.000296117,0.000296117,0.000296117
101,3318,0.5274,0.38991,0.95063,0.80388,0.62649,0.73741,0.44384,1.56348,1.43244,1.91564,0.000286082,0.000286082,0.000286082
102,3347.85,0.51036,0.39434,0.94726,0.72691,0.6532,0.71718,0.4197,1.59035,1.53761,1.92324,0.000276169,0.000276169,0.000276169
103,3378.57,0.5058,0.39361,0.94498,0.76774,0.69207,0.75163,0.43888,1.5606,1.46564,1.90541,0.00026638,0.00026638,0.00026638
104,3409.93,0.51188,0.38579,0.94605,0.76415,0.67488,0.72502,0.42886,1.5557,1.46184,1.94544,0.00025672,0.00025672,0.00025672
105,3439.92,0.49627,0.37731,0.92943,0.7399,0.7091,0.7367,0.45037,1.5175,1.4602,1.90263,0.000247194,0.000247194,0.000247194
106,3469.78,0.47241,0.34958,0.92022,0.70848,0.74728,0.71953,0.4422,1.49259,1.44442,1.85723,0.000237805,0.000237805,0.000237805
107,3499.61,0.48196,0.37629,0.93278,0.73189,0.71117,0.73274,0.43091,1.55192,1.43805,1.92944,0.000228559,0.000228559,0.000228559
108,3529.1,0.5006,0.38416,0.92935,0.71714,0.72248,0.72958,0.43538,1.5592,1.46087,1.94626,0.000219458,0.000219458,0.000219458
109,3559.24,0.48884,0.36208,0.93781,0.72789,0.72506,0.74971,0.44973,1.58804,1.47392,1.9553,0.000210507,0.000210507,0.000210507
110,3589.06,0.48308,0.36199,0.92525,0.72386,0.7133,0.73887,0.45128,1.57785,1.43983,1.94672,0.00020171,0.00020171,0.00020171
111,3618.69,0.47464,0.3671,0.9284,0.76837,0.70377,0.75249,0.45679,1.5128,1.30273,1.93839,0.00019307,0.00019307,0.00019307
112,3648.34,0.49161,0.38407,0.94111,0.71747,0.72284,0.76188,0.45591,1.55538,1.44197,1.90534,0.000184592,0.000184592,0.000184592
113,3679.39,0.45372,0.35401,0.92576,0.75613,0.74276,0.75032,0.45714,1.54326,1.41988,1.92307,0.000176279,0.000176279,0.000176279
114,3709.95,0.45362,0.34535,0.91217,0.78955,0.71157,0.76222,0.46644,1.55079,1.42283,1.91283,0.000168134,0.000168134,0.000168134
115,3739.52,0.44151,0.33759,0.91075,0.76109,0.72191,0.76208,0.46816,1.55162,1.43765,1.92385,0.000160162,0.000160162,0.000160162
116,3769.86,0.44781,0.34383,0.90477,0.74092,0.71315,0.76702,0.45555,1.58424,1.50075,1.97757,0.000152366,0.000152366,0.000152366
117,3799.01,0.45049,0.34938,0.9094,0.73571,0.69074,0.7473,0.45443,1.55612,1.4687,1.95583,0.000144749,0.000144749,0.000144749
118,3829.11,0.44087,0.34354,0.91586,0.74859,0.70183,0.7568,0.44794,1.55058,1.40085,1.93778,0.000137315,0.000137315,0.000137315
119,3857.98,0.46553,0.3657,0.91991,0.73781,0.70588,0.75725,0.45327,1.53287,1.41213,1.9098,0.000130067,0.000130067,0.000130067
120,3889.81,0.44269,0.34726,0.91055,0.75771,0.7089,0.75854,0.46396,1.50195,1.40924,1.87266,0.000123007,0.000123007,0.000123007
121,3919.75,0.43915,0.34554,0.90937,0.74943,0.71898,0.75585,0.46022,1.50194,1.46053,1.85829,0.00011614,0.00011614,0.00011614
122,3950.15,0.4523,0.35013,0.91771,0.75255,0.75065,0.77486,0.47687,1.51274,1.42801,1.88446,0.000109468,0.000109468,0.000109468
123,3979.71,0.43192,0.33968,0.90584,0.73677,0.72441,0.75786,0.4627,1.53611,1.42364,1.89647,0.000102994,0.000102994,0.000102994
